Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,18O,17O
808,369.119182,369.119106,369.119106,24369344,,,-1,-0.206,-0.076,,,7,1.294117647,0.529411765,,,0,,C17 H21 O9,17,21,9,0,0,,,,
809,369.145487,369.145595,369.145595,4186329,,0,-1,0.293,0.108,,,11,1.1,0.25,,,0,,C20 H21 N2 O5,20,21,5,0,2,,,,
810,369.155426,369.155491,369.155491,7610594,,,-1,0.176,0.065,,,6,1.444444444,0.444444444,,,0,,C18 H25 O8,18,25,8,0,0,,,,
811,370.125531,370.125588,370.125588,2646143,,0,-1,0.154,0.057,,,7,1.4,0.533333333,,,0,,C15 H20 N3 O8,15,20,8,0,3,,,,
812,370.129454,370.129611,370.129611,3118211,,0,-1,0.423,0.157,,,11,1.05,0.3,,,0,,C20 H20 N O6,20,20,6,0,1,,,,
813,370.161956,370.161974,370.161974,14113954,,0,-1,0.047,0.017,,,6,1.5625,0.4375,,,0,,C16 H24 N3 O7,16,24,7,0,3,,,,
814,371.09842,371.09837,371.09837,14962724,,,-1,-0.134,-0.05,,,7,1.25,0.625,,,0,,C16 H19 O10,16,19,10,0,0,,,,
815,371.113636,371.113627,371.113627,4244531,,,-1,-0.027,-0.01,,,11,1,0.35,,,0,,C20 H19 O7,20,19,7,0,0,,,,
816,371.134617,371.134756,371.134756,10981447,,,-1,0.374,0.139,,,6,1.411764706,0.529411765,,,0,,C17 H23 O9,17,23,9,0,0,,,,
817,371.146074,371.145989,371.145989,2713682,,0,-1,-0.228,-0.085,,,6,1.5,0.5,,,0,,C16 H23 N2 O8,16,23,8,0,2,,,,
818,371.150016,371.150012,371.150012,4923478,,,-1,-0.009,-0.003,,,10,1.142857143,0.285714286,,,0,,C21 H23 O6,21,23,6,0,0,,,,
819,371.171167,371.171141,371.171141,9793642,,,-1,-0.069,-0.026,,,5,1.555555556,0.444444444,,,0,,C18 H27 O8,18,27,8,0,0,,,,
820,371.274069,371.273773,371.273773,3272909,,0.5,-1,-0.798,-0.296,,,2,2,0.1,,,0,,C20 H39 N2 O2 S,20,39,2,1,2,,,,
821,371.291616,371.291531,371.291531,7960798,,0,-1,-0.228,-0.085,,,2,2,0.2,,,0,,C20 H39 N2 O4,20,39,4,0,2,,,,
822,372.014278,372.014324,372.014324,2676631,,0.333333333,-1,0.123,0.046,,,9,0.916666667,0.75,,,0,,C12 H10 N3 O9 S,12,10,9,1,3,,,,
823,372.145324,372.145261,372.145261,4258838,,0,-1,-0.17,-0.063,,,10,1.15,0.3,,,0,,C20 H22 N O6,20,22,6,0,1,,,,
824,372.156386,372.156494,372.156494,3308577,,0,-1,0.292,0.109,,,10,1.210526316,0.263157895,,,0,,C19 H22 N3 O5,19,22,5,0,3,,,,
825,372.159942,372.159866,372.159866,3581988,,0.333333333,-1,-0.205,-0.076,,,5,1.6875,0.3125,,,0,,C16 H26 N3 O5 S,16,26,5,1,3,,,,
826,372.177511,372.177624,372.177624,10056757,,0,-1,0.302,0.113,,,5,1.6875,0.4375,,,0,,C16 H26 N3 O7,16,26,7,0,3,,,,
827,373.092686,373.092891,373.092891,4542381,,,-1,0.55,0.205,,,11,0.947368421,0.421052632,,,0,,C19 H17 O8,19,17,8,0,0,,,,
828,373.114067,373.11402,373.11402,5088194,,,-1,-0.124,-0.046,,,6,1.375,0.625,,,0,,C16 H21 O10,16,21,10,0,0,,,,
829,373.12931,373.129277,373.129277,36775888,,,-1,-0.09,-0.033,,,10,1.1,0.35,,,0,,C20 H21 O7,20,21,7,0,0,,,,
830,373.140385,373.14051,373.14051,3379164,,0,-1,0.335,0.125,,,10,1.157894737,0.315789474,,,0,,C19 H21 N2 O6,19,21,6,0,2,,,,
831,373.150219,373.150406,373.150406,6578149,,,-1,0.5,0.187,,,5,1.529411765,0.529411765,,,0,,C17 H25 O9,17,25,9,0,0,,,,
832,373.165654,373.165662,373.165662,46262260,,,-1,0.023,0.008,,,9,1.238095238,0.285714286,,,0,,C21 H25 O6,21,25,6,0,0,,,,
833,373.198113,373.198025,373.198025,3464212,,0,-1,-0.236,-0.088,,,4,1.764705882,0.411764706,,,0,,C17 H29 N2 O7,17,29,7,0,2,,,,
834,374.138818,374.13913,374.13913,3202985,,0.333333333,-1,0.833,0.312,,,5,1.666666667,0.4,,,0,,C15 H24 N3 O6 S,15,24,6,1,3,,,,
835,374.156824,374.156888,374.156888,5663675,,0,-1,0.172,0.064,,,5,1.666666667,0.533333333,,,0,,C15 H24 N3 O8,15,24,8,0,3,,,,
836,375.108628,375.108541,375.108541,17559392,,,-1,-0.231,-0.087,,,10,1.052631579,0.421052632,,,0,,C19 H19 O8,19,19,8,0,0,,,,
837,375.144838,375.144927,375.144927,1216065408,,,-1,0.238,0.089,,,9,1.2,0.35,,,0,,C20 H23 O7,20,23,7,0,0,,,,
838,375.153505,375.153658,375.153658,4185996,,0.5,-1,0.409,0.153,,,13,1.043478261,0.043478261,,,0,,C23 H23 N2 O S,23,23,1,1,2,,,,
839,375.181302,375.181312,375.181312,45592488,,,-1,0.026,0.01,,,8,1.333333333,0.285714286,,,0,,C21 H27 O6,21,27,6,0,0,,,,
840,376.115132,376.115024,376.115024,3843902,,0,-1,-0.288,-0.108,,,10,1.117647059,0.411764706,,,0,,C17 H18 N3 O7,17,18,7,0,3,,,,
841,376.176508,376.176561,376.176561,3050363,,0,-1,0.142,0.053,,,8,1.35,0.3,,,0,,C20 H26 N O6,20,26,6,0,1,,,,
842,377.087648,377.087806,377.087806,5074688,,,-1,0.419,0.158,,,10,1,0.5,,,0,,C18 H17 O9,18,17,9,0,0,,,,
843,377.10902,377.108935,377.108935,32986900,,,-1,-0.226,-0.085,,,5,1.466666667,0.733333333,,,0,,C15 H21 O11,15,21,11,0,0,,,,
844,377.124292,377.124191,377.124191,348632864,,,-1,-0.266,-0.1,,,9,1.157894737,0.421052632,,,0,,C19 H21 O8,19,21,8,0,0,,,,
845,377.160286,377.160577,377.160577,12634011648,,,-1,0.77,0.29,,,8,1.3,0.35,,,0,,C20 H25 O7,20,25,7,0,0,,,,
846,377.190509,377.190438,377.190438,2951013,,0.5,-1,-0.19,-0.072,,,7,1.5,0.15,,,0,,C20 H29 N2 O3 S,20,29,3,1,2,,,,
847,377.197034,377.196962,377.196962,4689772,,,-1,-0.191,-0.072,,,7,1.428571429,0.285714286,,,0,,C21 H29 O6,21,29,6,0,0,,,,
848,378.097549,378.097659,378.097659,6525673,,0.333333333,-1,0.293,0.111,,,5,1.615384615,0.615384615,,,0,,C13 H20 N3 O8 S,13,20,8,1,3,,,,
849,378.119265,378.11944,378.11944,2999039,,0,-1,0.463,0.175,,,9,1.166666667,0.444444444,,,0,,C18 H20 N O8,18,20,8,0,1,,,,
850,379.066825,379.06707,379.06707,5963438,,,-1,0.646,0.245,,,10,0.941176471,0.588235294,,,0,,C17 H15 O10,17,15,10,0,0,,,,
851,379.070264,379.070442,379.070442,8494769,,,-1,0.468,0.177,,,5,1.428571429,0.714285714,,,0,,C14 H19 O10 S,14,19,10,1,0,,,,
852,379.103535,379.103456,379.103456,18726610,,,-1,-0.209,-0.079,,,9,1.111111111,0.5,,,0,,C18 H19 O9,18,19,9,0,0,,,,
853,379.114812,379.114689,379.114689,3523294,,0,-1,-0.324,-0.123,,,9,1.176470588,0.470588235,,,0,,C17 H19 N2 O8,17,19,8,0,2,,,,
854,379.117958,379.11806,379.11806,2761441,,0.5,-1,0.269,0.102,,,4,1.714285714,0.571428571,,,0,,C14 H23 N2 O8 S,14,23,8,1,2,,,,
855,379.139722,379.139841,379.139841,70680312,,,-1,0.316,0.12,,,8,1.263157895,0.421052632,,,0,,C19 H23 O8,19,23,8,0,0,,,,
856,379.151121,379.151075,379.151075,3426050,,0,-1,-0.123,-0.047,,,8,1.333333333,0.388888889,,,0,,C18 H23 N2 O7,18,23,7,0,2,,,,
857,379.176261,379.176227,379.176227,315473696,,,-1,-0.09,-0.034,,,7,1.4,0.35,,,0,,C20 H27 O7,20,27,7,0,0,,,,
858,379.187106,379.18746,379.18746,3157798,,0,-1,0.935,0.355,,,7,1.473684211,0.315789474,,,0,,C19 H27 N2 O6,19,27,6,0,2,,,,
859,379.233895,379.233742,379.233742,3698517,,,-1,-0.405,-0.154,,,1,2,0.444444444,,,0,,C18 H35 O8,18,35,8,0,0,,,,
